data,temp,min_temp,max_temp,wind_speed
2022-01-01,-4.3,-10.2,2.3,1.5
2022-01-02,-1.3,-5.2,3.0,2.3
2022-01-03,-1.9,-8.0,2.5,1.8
2022-01-04,-2.5,-5.6,1.0,2.4
2022-01-05,-2.8,-7.8,1.9,1.7
2022-01-06,-2.2,-5.9,3.3,2.3
2022-01-07,-1.6,-5.9,4.5,1.5
2022-01-08,0.3,-5.0,3.7,1.7
2022-01-09,1.3,-1.2,5.6,1.7
2022-01-10,0.5,-3.4,4.4,2.0
2022-01-11,-7.4,-10.3,0.3,4.0
2022-01-12,-7.7,-11.3,-3.4,2.4
2022-01-13,-6.4,-8.9,-3.1,3.3
2022-01-14,-4.8,-10.1,1.3,1.7
2022-01-15,-1.0,-5.3,1.8,1.9
2022-01-16,-2.0,-7.2,2.4,3.3
2022-01-17,-5.8,-9.2,0.1,2.2
2022-01-18,-5.6,-9.9,-0.7,2.3
2022-01-19,-5.3,-7.7,-2.7,2.1
2022-01-20,-5.0,-9.8,0.9,1.8
2022-01-21,-2.7,-8.7,4.6,1.8
2022-01-22,0.3,-5.0,7.1,1.7
2022-01-23,2.0,-0.6,6.7,1.7
2022-01-24,4.6,1.3,8.4,3.5
2022-01-25,2.8,1.9,4.5,2.3
2022-01-26,1.3,-1.9,6.8,2.2
2022-01-27,-1.1,-4.6,4.0,2.1
2022-01-28,-2.7,-5.9,2.1,2.8
2022-01-29,-3.6,-7.2,0.9,2.4
2022-01-30,-2.8,-8.0,2.4,2.2
2022-01-31,-0.7,-6.8,4.8,1.9
2022-02-01,-1.3,-2.7,0.9,2.6
2022-02-02,-3.4,-6.0,0.0,2.4
2022-02-03,-3.4,-6.9,0.4,2.4
2022-02-04,-5.2,-8.2,-0.7,3.1
2022-02-05,-6.6,-9.7,-2.0,3.1
2022-02-06,-3.9,-8.4,1.7,2.5
2022-02-07,-2.5,-7.3,1.9,1.8
2022-02-08,-0.1,-4.1,5.6,1.9
2022-02-09,1.0,-4.3,7.2,1.8
2022-02-10,1.4,-3.2,6.7,2.3
2022-02-11,2.9,-2.6,8.8,1.8
2022-02-12,4.8,-0.1,10.4,1.7
2022-02-13,4.8,1.6,9.5,1.8
2022-02-14,2.5,-1.3,8.1,2.9
2022-02-15,-4.7,-7.7,-1.3,3.8
2022-02-16,-7.3,-9.6,-4.1,3.7
2022-02-17,-6.2,-10.7,-0.5,2.5
2022-02-18,-1.2,-8.0,5.7,2.0
2022-02-19,-1.7,-6.2,3.7,2.9
2022-02-20,-4.8,-8.4,-0.5,4.1
2022-02-21,-3.0,-8.1,3.6,2.9
2022-02-22,-4.5,-8.0,0.5,3.2
2022-02-23,-5.6,-10.0,-0.6,2.6
2022-02-24,-2.4,-8.5,3.7,2.2
2022-02-25,3.0,-3.6,8.4,2.3
2022-02-26,5.4,1.0,9.3,3.9
2022-02-27,3.7,-1.6,9.1,2.8
2022-02-28,6.8,2.7,11.5,1.5
2022-03-01,5.8,0.3,9.7,2.3
2022-03-02,3.5,-2.3,8.8,2.7
2022-03-03,5.8,0.9,12.4,2.1
2022-03-04,6.9,0.6,14.6,3.6
2022-03-05,2.3,-0.7,6.7,4.3
2022-03-06,1.4,-3.0,6.8,2.6
2022-03-07,2.8,-2.7,8.7,2.0
2022-03-08,6.0,1.1,12.3,2.0
2022-03-09,7.1,1.7,14.8,1.9
2022-03-10,9.3,4.2,15.8,2.1
2022-03-11,11.2,5.1,18.4,1.9
2022-03-12,12.8,6.3,19.5,2.7
2022-03-13,11.7,10.7,12.6,1.9
2022-03-14,8.2,4.9,13.2,3.2
2022-03-15,7.2,2.3,13.3,2.0
2022-03-16,10.3,3.6,16.8,2.1
2022-03-17,10.7,7.8,15.1,2.7
2022-03-18,7.5,5.5,9.6,4.4
2022-03-19,3.4,0.9,6.1,3.0
2022-03-20,5.4,2.2,9.3,2.6
2022-03-21,5.0,-0.3,10.9,2.4
2022-03-22,7.1,1.1,13.6,2.2
2022-03-23,6.2,4.9,8.2,2.3
2022-03-24,8.2,3.9,12.4,1.8
2022-03-25,12.0,6.3,17.2,2.6
2022-03-26,11.8,9.5,14.7,2.9
2022-03-27,8.1,5.0,12.6,3.0
2022-03-28,8.2,1.5,15.1,2.1
2022-03-29,9.7,3.3,15.6,2.1
2022-03-30,10.8,5.9,15.7,1.8
2022-03-31,10.9,7.6,14.7,2.5
2022-04-01,9.2,4.5,14.9,2.6
2022-04-02,8.2,3.7,14.2,2.3
2022-04-03,9.6,3.5,17.0,2.1
2022-04-04,10.3,5.1,16.4,2.3
2022-04-05,10.3,4.9,15.8,2.4
2022-04-06,11.7,8.0,17.0,2.5
2022-04-07,10.9,7.4,15.7,3.3
2022-04-08,12.9,5.1,20.0,2.1
2022-04-09,17.8,12.4,24.2,3.0
2022-04-10,18.2,12.7,25.1,2.0
2022-04-11,19.6,13.4,26.6,2.4
2022-04-12,19.3,15.9,26.4,2.8
2022-04-13,13.1,12.0,15.9,4.4
2022-04-14,13.2,11.4,15.3,4.0
2022-04-15,13.3,7.5,19.3,3.0
2022-04-16,13.2,7.1,20.2,2.5
2022-04-17,14.0,7.2,21.9,2.3
2022-04-18,15.2,11.4,21.6,2.4
2022-04-19,15.2,8.9,22.1,2.4
2022-04-20,15.7,9.7,22.1,2.3
2022-04-21,16.3,9.6,22.7,2.8
2022-04-22,15.0,13.2,16.8,3.5
2022-04-23,17.7,10.4,25.3,1.7
2022-04-24,18.5,15.0,24.5,2.3
2022-04-25,20.0,17.0,23.6,1.4
2022-04-26,21.9,17.0,28.7,3.1
2022-04-27,17.7,12.6,23.9,2.7
2022-04-28,18.2,11.6,25.9,2.6
2022-04-29,13.4,10.7,16.5,3.4
2022-04-30,13.0,10.5,17.8,2.9
2022-05-01,13.4,7.9,19.2,3.1
2022-05-02,14.2,9.1,19.4,2.4
2022-05-03,14.8,9.1,20.8,2.5
2022-05-04,17.8,10.0,25.2,2.7
2022-05-05,18.9,12.5,25.8,2.2
2022-05-06,19.6,13.7,25.6,2.5
2022-05-07,18.4,15.3,23.1,3.0
2022-05-08,15.3,11.7,18.2,2.8
2022-05-09,17.9,11.0,25.3,2.2
2022-05-10,19.9,13.6,26.3,2.2
2022-05-11,19.7,16.6,25.2,2.4
2022-05-12,20.9,14.1,28.1,1.9
2022-05-13,19.4,15.0,25.2,2.2
2022-05-14,15.7,11.9,20.0,3.3
2022-05-15,16.2,10.5,22.4,3.2
2022-05-16,17.3,10.9,23.7,2.8
2022-05-17,20.0,13.0,27.4,2.4
2022-05-18,20.0,15.7,25.4,2.9
2022-05-19,19.9,16.1,24.2,3.0
2022-05-20,20.6,15.6,25.8,2.3
2022-05-21,20.1,16.1,26.0,2.5
2022-05-22,20.3,15.7,25.8,2.5
2022-05-23,23.0,17.8,30.7,2.3
2022-05-24,22.9,16.7,30.2,2.1
2022-05-25,21.0,16.7,26.7,2.6
2022-05-26,18.7,14.1,23.5,3.7
2022-05-27,20.0,16.0,25.6,3.3
2022-05-28,22.3,15.0,29.3,2.8
2022-05-29,23.1,19.3,29.7,2.3
2022-05-30,20.8,17.2,24.7,2.5
2022-05-31,20.7,14.2,27.2,2.5
2022-06-01,22.1,16.2,28.6,2.6
2022-06-02,21.5,17.1,26.9,2.7
2022-06-03,24.5,18.7,32.6,2.0
2022-06-04,25.6,20.3,29.7,1.7
2022-06-05,22.7,20.2,27.0,2.3
2022-06-06,19.7,16.7,24.5,3.2
2022-06-07,20.6,15.1,25.1,2.7
2022-06-08,21.2,16.2,25.8,2.3
2022-06-09,20.9,18.5,24.5,1.6
2022-06-10,20.9,17.2,26.6,1.9
2022-06-11,24.6,17.7,32.7,2.2
2022-06-12,24.6,18.9,31.5,2.5
2022-06-13,23.6,19.6,29.2,2.6
2022-06-14,21.5,17.7,27.1,4.2
2022-06-15,17.5,14.9,20.1,2.3
2022-06-16,20.3,17.6,24.8,2.3
2022-06-17,22.5,16.5,28.1,1.9
2022-06-18,23.3,22.0,25.1,1.7
2022-06-19,23.4,22.3,25.1,1.4
2022-06-20,25.2,22.0,29.0,1.3
2022-06-21,26.5,21.2,32.6,2.0
2022-06-22,25.9,21.9,31.0,2.1
2022-06-23,24.3,23.3,26.4,2.8
2022-06-24,22.6,20.6,24.9,3.5
2022-06-25,26.0,21.5,30.5,2.8
2022-06-26,26.5,24.8,28.1,2.6
2022-06-27,26.8,25.4,28.1,2.8
2022-06-28,26.9,25.7,27.9,5.8
2022-06-29,25.1,24.4,26.1,4.1
2022-06-30,22.3,21.2,24.5,2.3
2022-07-01,26.6,21.9,30.9,2.1
2022-07-02,28.8,24.0,33.8,1.7
2022-07-03,29.3,24.4,34.2,1.7
2022-07-04,29.3,26.4,32.6,1.8
2022-07-05,29.2,26.7,33.1,1.7
2022-07-06,29.5,26.2,33.3,2.1
2022-07-07,28.2,26.4,31.0,2.8
2022-07-08,25.8,24.0,27.9,2.9
2022-07-09,26.9,24.0,30.9,1.7
2022-07-10,29.2,24.6,35.1,1.7
2022-07-11,27.0,24.7,30.6,1.8
2022-07-12,26.8,23.2,29.4,2.2
2022-07-13,25.0,24.0,27.1,1.8
2022-07-14,25.7,23.3,29.9,2.3
2022-07-15,26.0,23.0,30.3,2.3
2022-07-16,24.8,23.2,28.2,2.0
2022-07-17,25.5,22.5,29.7,1.8
2022-07-18,26.8,23.1,30.1,2.2
2022-07-19,27.4,24.3,31.1,2.3
2022-07-20,27.1,24.3,30.4,2.2
2022-07-21,23.2,20.8,25.2,2.9
2022-07-22,25.1,22.9,27.5,1.9
2022-07-23,24.8,22.3,28.0,2.0
2022-07-24,25.0,22.0,28.4,2.1
2022-07-25,27.5,23.6,32.0,1.9
2022-07-26,28.9,24.4,33.1,1.8
2022-07-27,29.3,26.4,33.4,2.0
2022-07-28,29.7,25.1,34.4,2.4
2022-07-29,30.7,27.3,34.3,2.2
2022-07-30,30.9,27.3,36.1,2.6
2022-07-31,27.2,25.4,29.0,2.5
2022-08-01,28.6,25.4,32.4,2.4
2022-08-02,26.8,25.5,28.5,2.8
2022-08-03,27.1,25.2,30.0,2.8
2022-08-04,28.9,26.0,32.9,2.5
2022-08-05,29.4,27.0,32.7,2.6
2022-08-06,28.7,27.4,30.3,1.7
2022-08-07,28.9,27.2,31.7,2.4
2022-08-08,26.8,,28.4,3.3
2022-08-09,25.1,22.0,26.5,2.6
2022-08-10,24.7,21.4,28.8,1.6
2022-08-11,25.0,23.4,27.5,1.6
2022-08-12,27.0,23.0,32.4,1.7
2022-08-13,25.8,24.7,27.5,1.3
2022-08-14,27.6,24.5,31.5,1.9
2022-08-15,28.1,26.6,29.8,4.8
2022-08-16,26.7,24.1,30.0,2.6
2022-08-17,26.0,22.8,30.5,2.0
2022-08-18,25.6,22.4,29.8,1.9
2022-08-19,26.0,23.3,27.5,2.3
2022-08-20,28.2,25.7,32.0,2.4
2022-08-21,28.1,24.7,32.0,1.7
2022-08-22,26.8,22.9,30.2,2.3
2022-08-23,25.4,22.4,30.2,2.0
2022-08-24,24.8,22.4,27.9,2.5
2022-08-25,22.2,21.1,24.0,1.8
2022-08-26,23.8,19.9,28.4,2.4
2022-08-27,21.5,17.6,25.5,2.8
2022-08-28,22.6,16.1,28.4,1.7
2022-08-29,21.0,19.5,22.5,2.3
2022-08-30,19.1,17.9,20.3,2.6
2022-08-31,21.7,19.6,24.9,1.8
2022-09-01,24.0,18.3,30.4,1.7
2022-09-02,24.7,20.3,29.8,3.1
2022-09-03,24.2,20.5,29.2,3.4
2022-09-04,22.3,19.8,24.0,3.1
2022-09-05,19.2,17.7,22.7,3.2
2022-09-06,21.0,17.0,26.3,3.6
2022-09-07,22.8,17.9,28.1,1.9
2022-09-08,23.2,16.7,29.5,1.6
2022-09-09,24.3,18.9,30.8,2.0
2022-09-10,23.6,19.0,28.4,2.6
2022-09-11,23.3,20.6,26.4,2.1
2022-09-12,23.8,20.3,27.5,1.6
2022-09-13,24.3,21.8,26.4,2.5
2022-09-14,24.6,22.7,27.9,4.6
2022-09-15,25.2,22.0,28.3,3.6
2022-09-16,25.7,23.4,29.9,2.9
2022-09-17,25.6,23.3,29.4,1.4
2022-09-18,27.1,23.0,32.5,2.0
2022-09-19,24.6,19.5,29.6,3.3
2022-09-20,19.9,16.1,24.6,2.3
2022-09-21,19.4,13.0,25.6,1.8
2022-09-22,19.8,14.2,24.7,2.0
2022-09-23,17.5,14.7,22.2,3.1
2022-09-24,18.5,12.3,24.2,1.8
2022-09-25,19.6,15.4,25.2,1.6
2022-09-26,20.0,14.8,25.4,1.7
2022-09-27,20.9,14.0,28.0,1.6
2022-09-28,20.4,16.1,26.1,1.8
2022-09-29,20.4,16.4,26.5,1.4
2022-09-30,20.7,14.8,27.7,1.6
2022-10-01,20.9,14.4,27.6,1.6
2022-10-02,19.4,17.2,21.6,2.7
2022-10-03,21.4,17.5,23.4,2.7
2022-10-04,17.9,14.2,23.0,2.9
2022-10-05,16.6,14.1,21.6,2.1
2022-10-06,15.8,12.7,19.1,2.1
2022-10-07,14.3,11.0,18.6,2.5
2022-10-08,15.8,11.1,21.6,2.5
2022-10-09,13.1,10.7,14.5,2.1
2022-10-10,9.9,8.2,11.9,3.8
2022-10-11,11.1,7.4,16.4,2.2
2022-10-12,13.5,6.5,20.6,1.8
2022-10-13,16.3,10.7,22.7,1.5
2022-10-14,17.1,12.4,23.0,1.6
2022-10-15,18.2,12.6,24.4,1.4
2022-10-16,16.9,15.1,20.5,1.7
2022-10-17,11.2,7.4,15.1,3.4
2022-10-18,9.4,5.0,14.2,2.3
2022-10-19,10.5,4.4,16.8,1.8
2022-10-20,12.9,6.0,19.7,1.8
2022-10-21,14.0,8.8,20.9,1.7
2022-10-22,15.1,10.5,20.8,1.9
2022-10-23,14.0,10.4,18.6,2.7
2022-10-24,10.6,7.5,14.8,2.8
2022-10-25,11.3,5.9,17.6,2.0
2022-10-26,12.9,8.0,17.8,1.9
2022-10-27,13.2,8.6,18.9,1.7
2022-10-28,13.6,8.2,20.6,1.7
2022-10-29,14.8,10.2,21.3,1.8
2022-10-30,14.9,10.4,21.3,1.9
2022-10-31,14.9,11.2,21.1,2.1
2022-11-01,13.1,9.4,17.8,1.8
2022-11-02,11.1,5.5,17.9,1.7
2022-11-03,9.3,5.6,13.4,2.0
2022-11-04,4.9,1.6,9.8,2.9
2022-11-05,6.5,0.8,13.6,1.7
2022-11-06,9.6,3.7,16.4,1.8
2022-11-07,11.4,6.1,16.6,1.7
2022-11-08,12.9,9.7,17.9,1.5
2022-11-09,11.4,6.7,16.0,1.5
2022-11-10,13.5,8.8,19.1,1.3
2022-11-11,15.6,10.9,22.1,1.8
2022-11-12,16.3,11.6,22.0,2.2
2022-11-13,10.3,8.7,17.3,2.6
2022-11-14,9.7,5.9,13.8,2.3
2022-11-15,8.1,4.0,12.3,2.0
2022-11-16,8.5,5.5,13.0,1.7
2022-11-17,10.2,5.4,16.6,1.6
2022-11-18,11.0,5.3,18.1,1.6
2022-11-19,12.9,8.7,19.2,2.3
2022-11-20,13.7,9.5,20.2,1.7
2022-11-21,11.8,9.3,16.2,1.6
2022-11-22,10.7,7.0,13.7,1.9
2022-11-23,10.8,6.8,15.2,2.1
2022-11-24,9.4,5.9,14.1,1.5
2022-11-25,12.3,7.1,17.8,3.0
2022-11-26,6.7,1.0,12.9,3.0
2022-11-27,5.4,-1.1,11.5,2.4
2022-11-28,12.3,7.5,15.0,2.7
2022-11-29,6.9,-1.6,15.0,3.5
2022-11-30,-5.4,-8.1,-1.6,3.9
2022-12-01,-5.4,-9.4,-1.2,2.4
2022-12-02,-2.5,-7.6,3.0,1.7
2022-12-03,2.1,-0.3,7.0,2.6
2022-12-04,-3.5,-5.2,-0.2,2.8
2022-12-05,-3.1,-7.0,1.9,2.4
2022-12-06,0.9,-3.9,5.3,2.4
2022-12-07,4.9,1.2,9.0,2.7
2022-12-08,3.7,0.1,9.1,1.4
2022-12-09,4.5,0.9,10.2,2.0
2022-12-10,2.6,-0.6,6.7,1.3
2022-12-11,1.6,-1.5,6.8,1.8
2022-12-12,2.0,-2.0,6.3,1.7
2022-12-13,0.0,-6.4,3.1,3.5
2022-12-14,-8.4,-11.0,-4.9,3.2
2022-12-15,-4.5,-8.5,-1.3,2.5
2022-12-16,-6.3,-9.6,-2.2,2.0
2022-12-17,-7.0,-9.8,-3.2,2.7
2022-12-18,-9.5,-12.4,-5.6,2.6
2022-12-19,-7.0,-12.0,-2.5,1.7
2022-12-20,-3.2,-9.5,2.9,2.2
2022-12-21,-0.1,-2.6,2.6,2.7
2022-12-22,-7.8,-11.3,-2.6,4.4
2022-12-23,-11.8,-13.7,-8.6,4.3
2022-12-24,-8.4,-13.5,-2.0,1.8
2022-12-25,-5.4,-9.6,0.2,1.7
2022-12-26,-3.9,-7.9,1.7,1.4
2022-12-27,-2.6,-7.3,3.3,1.8
2022-12-28,-3.3,-6.0,0.1,2.5
2022-12-29,-2.9,-7.8,2.1,1.7
2022-12-30,-1.8,-4.4,2.3,1.9
2022-12-31,-1.2,-5.1,2.1,1.4
